Reference Aircraft Type [String],Remarks [String],Wingspan Code [Integer],Type Description [String],Manufacturer [String],ICAO Type Code [String],IATA Type Code [String],Wake Turbulence Category [Enumeration:TAircraftWTC],Wake Turbulence Category (RECAT) [Enumeration:TAircraftWTCRecat],ICAO Code Letter [Enumeration:TAircraftICAOCodeLetter],Engine Type [Enumeration:TAircraftEngineType],Engine Count [Integer],Body Type [Enumeration:TAircraftBodyType],Aisle Type [Enumeration:TAircraftAisleType],Wingspan [Float],Length [Float],Height [Float],Nose Gear Position [Float],Wheelbase [Float],Geometry Name [String],Fuelburn Category [String]
A330,,10,A330-300 (33P),Airbus,33P,33P,Heavy,D - Upper Medium,E,Jet,2,Wide-Body,Twin-Aisle,60.3 m,63.7 m,16.9 m,7.08 m,25.6 m,Airbus A330-300,6 - Small Heavy Jet (2-3 Engines)
A340-200/300,,10,A340-300,Airbus,34P,34P,Heavy,D - Upper Medium,E,Jet,4,Wide-Body,Twin-Aisle,60.3 m,37.5 m,16.85 m,7.08 m,12.3 m,Airbus A340-600,6 - Small Heavy Jet (2-3 Engines)
B737-900,,35,737 Max 9,Boeing,7M9,7M9,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,35.9 m,42.2 m,12.3 m,4.1 m,17.2 m,Boeing B737-800,4 - Medium Jet (2 Engines)
A380,,3,AN-124,Antonov,A124,A4F,Super Heavy,D - Upper Medium,F,Jet,4,Wide-Body,Twin-Aisle,73.3 m,69.1 m,20.8 m,7.08 m,25.6 m,Airbus A380-800,8 - Large Heavy Jet (4 Engines)
A320,,35,A220-100,Airbus,A221,221,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,35.1 m,35 m,11.5 m,4.6 m,12.28 m,Airbus A320-200,4 - Medium Jet (2 Engines)
A320,,35,A220-100,Airbus,CS10,221,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,35.1 m,35 m,11.5 m,4.6 m,12.28 m,Airbus A320-200,4 - Medium Jet (2 Engines)
A320,,35,A220-300,Airbus,A223,223,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,35.1 m,38.7 m,11.5 m,4.6 m,12.28 m,Airbus A320-200,4 - Medium Jet (2 Engines)
A320,,35,A220-300,Airbus,CS30,223,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,35.1 m,38.7 m,11.5 m,4.6 m,12.28 m,Airbus A320-200,4 - Medium Jet (2 Engines)
A310,,25,A300-600 / 600C / 601,Airbus,A306,AB6,Heavy,D - Upper Medium,D,Jet,2,Wide-Body,Twin-Aisle,44.8 m,54.1 m,16.5 m,5.71 m,15.22 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
A310,,25,A300F,Airbus,A306,ABF,Heavy,D - Upper Medium,D,Jet,2,Wide-Body,Twin-Aisle,44.8 m,54.1 m,16.5 m,5.71 m,15.22 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
A310,,25,A300C4 / F4 Freighter,Airbus,A306,ABX,Heavy,D - Upper Medium,D,Jet,2,Wide-Body,Twin-Aisle,44.8 m,54.1 m,16.5 m,5.71 m,15.22 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
A310,,25,A600F,Airbus,A306,ABY,Heavy,D - Upper Medium,D,Jet,2,Wide-Body,Twin-Aisle,44.8 m,54.1 m,16.5 m,5.71 m,15.22 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
A310,,25,A310-200 Passenger,Airbus,A310,312,Heavy,D - Upper Medium,D,Jet,2,Wide-Body,Twin-Aisle,43.9 m,45.66 m,15.81 m,5.71 m,15.22 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
A310,,25,A310-300 Passenger,Airbus,A310,313,Heavy,D - Upper Medium,D,Jet,2,Wide-Body,Twin-Aisle,43.9 m,45.66 m,15.81 m,5.71 m,15.22 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
A310,,25,A310-200 Freighter,Airbus,A310,31X,Heavy,D - Upper Medium,D,Jet,2,Wide-Body,Twin-Aisle,43.9 m,47.21 m,15.81 m,5.9 m,15.74 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
